,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betsson_1_odds,betus_1_odds,betvictor_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,intertops_1_odds,ladbrokes_1_odds,livescorebet_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,team_1,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,virginbet_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,team_1_division,team_1_conference,hour_of_start,day_of_week,home_away_neutral,home_team_division,away_team_division,team_1_division,team_2_division,home_team_conference,away_team_conference,day_night,minutes_since_commence,target,opponent,this_team_division,opponent_team_division,this_team_conference,opponent_team_conference,home_away,average_market_odds_old,highest_bettable_odds,average_market_odds
2,1.29,0.0,0.0,0.0,1.29,1.29,1.32,0.0,1.29,1.3,1.3,1.29,1.32,0.0,1.28,1.29,1.3,0.0,0.0,0.0,0.0,1.29,1.29,1.27,1.31,0.0,1.3,1.29,0.0,1.29,1.31,1.29,1.3,0.0,1.29,Atlanta Hawks,1.32,0.0,1.32,1.32,1.32,1.29,1.29,1.29,1.29,Southeast,Eastern,20,Sat,,Southeast,Southeast,Southeast,Southeast,Eastern,Eastern,N,-51.483333333333334,0,Washington Wizards,Southeast,Southeast,Eastern,Eastern,0,1.2979999999999996,1.32,1.2979999999999998
3,1.49,0.0,0.0,0.0,1.48,1.51,1.49,0.0,1.51,1.45,1.48,1.51,1.49,0.0,1.48,1.49,1.49,0.0,0.0,0.0,0.0,1.48,1.51,1.56,1.52,0.0,1.48,1.47,0.0,1.47,1.52,1.5,1.47,0.0,1.48,Cleveland Cavaliers,1.49,0.0,1.49,1.49,1.49,1.48,1.5,1.48,1.47,Central,Western,20,Sat,,Central,Pacific,Central,Pacific,Western,Western,N,-71.48333333333333,1,Los Angeles Lakers,Central,Pacific,Western,Western,1,1.4909999999999999,1.51,1.4909999999999999
4,1.74,0.0,0.0,0.0,1.71,1.72,1.77,0.0,1.69,1.73,1.74,1.71,1.77,0.0,1.7,1.74,1.7,0.0,0.0,0.0,0.0,1.73,1.72,1.71,1.79,0.0,1.74,1.74,0.0,1.67,1.76,1.71,1.73,0.0,1.74,New Orleans Pelicans,1.77,0.0,1.77,1.77,1.77,1.73,1.74,1.71,1.77,Southwest,Western,22,Sat,,Northwest,Southwest,Southwest,Northwest,Western,Western,N,-191.48333333333332,0,Utah Jazz,Southwest,Northwest,Western,Western,0,1.735,1.77,1.735
5,1.95,0.0,0.0,0.0,1.95,1.95,1.92,0.0,1.95,1.91,1.95,1.95,1.92,0.0,1.91,1.95,1.98,0.0,0.0,0.0,0.0,1.95,1.95,1.95,2.06,0.0,1.95,1.96,0.0,1.9,1.99,1.95,1.95,0.0,1.95,Dallas Mavericks,1.92,0.0,1.92,1.92,1.92,1.95,1.95,1.95,1.83,Southwest,Western,23,Sat,,Pacific,Southwest,Southwest,Pacific,Western,Western,N,-261.48333333333335,0,Los Angeles Clippers,Southwest,Pacific,Western,Western,0,1.9420000000000004,1.98,1.9420000000000002
6,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.14,0.0,0.0,0.0,0.0,1.12,1.11,0.0,0.0,0.0,0.0,1.11,0.0,1.12,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.11,1.11,0.0,0.0,Milwaukee Bucks,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,Central,Eastern,16,Sun,,Central,Northwest,Central,Northwest,Eastern,Western,D,-1271.4833333333333,1,Portland Trail Blazers,Central,Northwest,Eastern,Western,1,1.116,1.12,1.116
8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,3.0,3.35,0.0,0.0,0.0,0.0,3.0,0.0,3.38,0.0,0.0,0.0,0.0,0.0,3.25,0.0,3.5,3.2,0.0,0.0,Charlotte Hornets,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Southeast,Eastern,19,Sun,,Southeast,Southeast,Southeast,Southeast,Eastern,Eastern,N,-1421.4833333333333,0,Orlando Magic,Southeast,Southeast,Eastern,Eastern,0,3.1755555555555555,3.5,3.1755555555555555
9,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,2.95,3.05,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.0,0.0,2.95,0.0,0.0,Memphis Grizzlies,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Southwest,Western,19,Sun,,Southwest,Northwest,Southwest,Northwest,Western,Western,N,-1421.4833333333333,1,Minnesota Timberwolves,Southwest,Northwest,Western,Western,1,2.947142857142857,3.05,2.9471428571428575
10,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.62,1.65,0.0,0.0,0.0,0.0,1.6,0.0,1.64,0.0,0.0,0.0,0.0,0.0,1.62,0.0,1.62,1.63,0.0,0.0,New York Knicks,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,Atlantic,Eastern,19,Sun,,Atlantic,Pacific,Atlantic,Pacific,Eastern,Western,N,-1421.4833333333333,1,Phoenix Suns,Atlantic,Pacific,Eastern,Western,1,1.6188888888888888,1.65,1.6188888888888888
11,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,1.7,1.68,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,1.69,0.0,0.0,1.65,0.0,0.0,1.67,0.0,0.0,Brooklyn Nets,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,Atlantic,Eastern,20,Sun,,Atlantic,Central,Atlantic,Central,Eastern,Eastern,N,-1511.4833333333333,1,Chicago Bulls,Atlantic,Central,Eastern,Eastern,1,1.67625,1.7,1.67625
12,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.62,1.61,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.53,0.0,0.0,1.57,0.0,0.0,1.6,0.0,0.0,Cleveland Cavaliers,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,Central,Western,20,Sun,,Central,Atlantic,Central,Atlantic,Western,Eastern,N,-1511.4833333333333,1,Toronto Raptors,Central,Atlantic,Western,Eastern,1,1.5899999999999999,1.62,1.5900000000000003
13,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,1.14,1.14,0.0,0.0,0.0,0.0,1.13,0.0,1.13,0.0,0.0,1.15,0.0,0.0,1.12,0.0,1.11,1.12,0.0,0.0,Denver Nuggets,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,Northwest,Western,21,Sun,,Northwest,Southwest,Northwest,Southwest,Western,Western,N,-1541.4833333333333,1,San Antonio Spurs,Northwest,Southwest,Western,Western,1,1.129,1.14,1.129
14,1.62,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Milwaukee Bucks,0.0,0.0,1.56,1.56,1.56,1.57,0.0,0.0,0.0,Central,Eastern,13,Mon,,Atlantic,Central,Central,Atlantic,Eastern,Eastern,D,-42821.48333333333,0,New York Knicks,Central,Atlantic,Eastern,Eastern,0,1.5737500000000002,1.62,1.5737500000000002
15,1.49,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,1.5,0.0,1.49,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Denver Nuggets,0.0,0.0,1.49,1.49,1.49,1.44,0.0,0.0,0.0,Northwest,Western,15,Mon,,Northwest,Pacific,Northwest,Pacific,Western,Western,D,-42971.48333333333,1,Golden State Warriors,Northwest,Pacific,Western,Western,1,1.4844444444444447,1.49,1.4844444444444445
16,1.8,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,1.75,1.83,0.0,1.81,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boston Celtics,0.0,0.0,1.81,1.81,1.81,1.77,0.0,0.0,0.0,Atlantic,Eastern,18,Mon,,Pacific,Atlantic,Atlantic,Pacific,Western,Eastern,D,-43121.48333333333,0,Los Angeles Lakers,Atlantic,Pacific,Eastern,Western,0,1.8000000000000003,1.81,1.8
17,1.8,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,1.75,1.83,0.0,1.78,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miami Heat,0.0,0.0,1.78,1.78,1.78,1.77,0.0,0.0,0.0,Southeast,Eastern,21,Mon,,Southeast,Atlantic,Southeast,Atlantic,Eastern,Eastern,N,-43301.48333333333,1,Philadelphia 76ers,Southeast,Atlantic,Eastern,Eastern,1,1.7850000000000001,1.8,1.7849999999999997
18,2.7,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,2.55,2.7,0.0,2.6,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,Dallas Mavericks,0.0,0.0,2.6,2.6,2.6,2.62,0.0,0.0,0.0,Southwest,Western,23,Mon,,Pacific,Southwest,Southwest,Pacific,Western,Western,N,-43451.48333333333,0,Phoenix Suns,Southwest,Pacific,Western,Western,0,2.633636363636364,2.7,2.6336363636363633
21,3.7,0.0,0.0,0.0,3.75,3.8,3.55,0.0,3.8,3.8,3.75,3.75,3.55,0.0,3.7,3.7,3.7,0.0,0.0,0.0,0.0,3.75,3.8,3.92,4.1,0.0,3.6,3.75,0.0,3.5,3.77,3.6,3.55,0.0,3.75,Washington Wizards,3.55,0.0,3.6,3.55,3.55,3.8,3.7,3.7,3.8,Southeast,Eastern,20,Sat,,Southeast,Southeast,Southeast,Southeast,Eastern,Eastern,N,-51.483333333333334,1,Atlanta Hawks,Southeast,Southeast,Eastern,Eastern,1,3.706333333333333,3.8,3.7063333333333333
22,2.7,0.0,0.0,0.0,2.7,2.7,2.7,0.0,2.65,2.65,2.75,2.65,2.7,0.0,2.62,2.7,2.72,0.0,0.0,0.0,0.0,2.7,2.7,2.77,2.9,0.0,2.75,2.75,0.0,2.62,2.73,2.65,2.7,0.0,2.75,Los Angeles Lakers,2.7,0.0,2.75,2.7,2.7,2.75,2.7,2.75,2.8,Pacific,Western,20,Sat,,Central,Pacific,Central,Pacific,Western,Western,N,-71.48333333333333,0,Cleveland Cavaliers,Pacific,Central,Western,Western,0,2.713666666666667,2.75,2.7136666666666667
23,2.14,0.0,0.0,0.0,2.15,2.19,2.1,0.0,2.25,2.1,2.15,2.2,2.1,0.0,2.1,2.14,2.2,0.0,0.0,0.0,0.0,2.15,2.19,2.19,2.26,0.0,2.15,2.15,0.0,2.15,2.2,2.15,2.1,0.0,2.15,Utah Jazz,2.1,0.0,2.12,2.1,2.1,2.15,2.15,2.18,2.1,Northwest,Western,22,Sat,,Northwest,Southwest,Southwest,Northwest,Western,Western,N,-191.48333333333332,1,New Orleans Pelicans,Northwest,Southwest,Western,Western,1,2.1506666666666665,2.25,2.1506666666666665
24,1.87,0.0,0.0,0.0,1.87,1.87,1.93,0.0,1.87,1.85,1.87,1.87,1.93,0.0,1.85,1.87,1.86,0.0,0.0,0.0,0.0,1.85,1.87,1.89,1.94,0.0,1.87,1.88,0.0,1.9,1.91,1.87,1.85,0.0,1.87,Los Angeles Clippers,1.93,0.0,1.93,1.93,1.93,1.91,1.87,1.87,2.0,Pacific,Western,23,Sat,,Pacific,Southwest,Southwest,Pacific,Western,Western,N,-261.48333333333335,1,Dallas Mavericks,Pacific,Southwest,Western,Western,1,1.8903333333333332,1.93,1.890333333333333
25,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.75,0.0,0.0,0.0,0.0,6.5,7.1,0.0,0.0,0.0,0.0,6.5,0.0,6.8,0.0,0.0,0.0,0.0,0.0,6.5,0.0,7.0,6.4,0.0,0.0,Portland Trail Blazers,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,Northwest,Western,16,Sun,,Central,Northwest,Central,Northwest,Eastern,Western,D,-1271.4833333333333,0,Milwaukee Bucks,Northwest,Central,Western,Eastern,0,6.425,7.1,6.425
26,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.32,1.33,0.0,0.0,0.0,0.0,1.31,0.0,1.22,0.0,0.0,1.36,0.0,0.0,1.33,0.0,1.2,1.3,0.0,0.0,Boston Celtics,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,Atlantic,Eastern,19,Sun,,Atlantic,Southeast,Southeast,Atlantic,Eastern,Eastern,N,-1421.4833333333333,1,Atlanta Hawks,Atlantic,Southeast,Eastern,Eastern,1,1.298,1.33,1.2980000000000003
27,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,1.41,1.34,0.0,0.0,0.0,0.0,1.4,0.0,1.34,0.0,0.0,0.0,0.0,0.0,1.33,0.0,1.31,1.33,0.0,0.0,Orlando Magic,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,Southeast,Eastern,19,Sun,,Southeast,Southeast,Southeast,Southeast,Eastern,Eastern,N,-1421.4833333333333,1,Charlotte Hornets,Southeast,Southeast,Eastern,Eastern,1,1.3577777777777778,1.41,1.3577777777777778
28,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,1.42,1.4,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.4,0.0,0.0,Minnesota Timberwolves,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,Northwest,Western,19,Sun,,Southwest,Northwest,Southwest,Northwest,Western,Western,N,-1421.4833333333333,0,Memphis Grizzlies,Northwest,Southwest,Western,Western,0,1.4057142857142857,1.42,1.4057142857142857
29,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,2.36,2.3,0.0,0.0,0.0,0.0,2.38,0.0,2.31,0.0,0.0,0.0,0.0,0.0,2.25,0.0,2.3,2.25,0.0,0.0,Phoenix Suns,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,Pacific,Western,19,Sun,,Atlantic,Pacific,Atlantic,Pacific,Eastern,Western,N,-1421.4833333333333,0,New York Knicks,Pacific,Atlantic,Western,Eastern,0,2.3088888888888888,2.36,2.3088888888888888
30,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,2.2,2.26,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,2.25,0.0,0.0,2.2,0.0,0.0,2.2,0.0,0.0,Chicago Bulls,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,Central,Eastern,20,Sun,,Atlantic,Central,Atlantic,Central,Eastern,Eastern,N,-1511.4833333333333,0,Brooklyn Nets,Central,Atlantic,Eastern,Eastern,0,2.2074999999999996,2.26,2.2075
32,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,6.0,6.2,0.0,0.0,0.0,0.0,6.0,0.0,6.35,0.0,0.0,5.5,0.0,0.0,6.0,0.0,7.0,6.1,0.0,0.0,San Antonio Spurs,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,Southwest,Western,21,Sun,,Northwest,Southwest,Northwest,Southwest,Western,Western,N,-1541.4833333333333,0,Denver Nuggets,Southwest,Northwest,Western,Western,0,6.075,7.0,6.075
33,2.36,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Knicks,0.0,0.0,2.43,2.43,2.43,2.3,0.0,0.0,0.0,Atlantic,Eastern,13,Mon,,Atlantic,Central,Central,Atlantic,Eastern,Eastern,D,-42821.48333333333,1,Milwaukee Bucks,Atlantic,Central,Eastern,Eastern,1,2.39875,2.43,2.39875
34,2.7,0.0,0.0,0.0,0.0,0.0,2.65,0.0,0.0,0.0,2.7,0.0,2.65,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Golden State Warriors,0.0,0.0,2.65,2.65,2.65,2.62,0.0,0.0,0.0,Pacific,Western,15,Mon,,Northwest,Pacific,Northwest,Pacific,Western,Western,D,-42971.48333333333,0,Denver Nuggets,Pacific,Northwest,Western,Western,0,2.6633333333333327,2.7,2.663333333333333
35,2.05,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,1.95,2.0,0.0,2.02,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Lakers,0.0,0.0,2.02,2.02,2.02,2.0,0.0,0.0,0.0,Pacific,Western,18,Mon,,Pacific,Atlantic,Atlantic,Pacific,Western,Eastern,D,-43121.48333333333,1,Boston Celtics,Pacific,Atlantic,Western,Eastern,1,2.0149999999999997,2.05,2.0149999999999997
36,2.05,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,1.98,2.0,0.0,2.07,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Philadelphia 76ers,0.0,0.0,2.07,2.07,2.07,2.0,0.0,0.0,0.0,Atlantic,Eastern,21,Mon,,Southeast,Atlantic,Southeast,Atlantic,Eastern,Eastern,N,-43301.48333333333,0,Miami Heat,Atlantic,Southeast,Eastern,Eastern,0,2.043,2.07,2.0429999999999997
37,1.49,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.44,1.5,0.0,1.5,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,Phoenix Suns,0.0,0.0,1.5,1.5,1.5,1.44,0.0,0.0,0.0,Pacific,Western,23,Mon,,Pacific,Southwest,Southwest,Pacific,Western,Western,N,-43451.48333333333,1,Dallas Mavericks,Pacific,Southwest,Western,Western,1,1.4836363636363636,1.5,1.4836363636363636
